x y
-3 2
-2.900 2.007
-2.801 2.019
-2.702 2.035
-2.604 2.056
-2.507 2.080
-2.411 2.107
-2.316 2.137
-2.221 2.170
-2.127 2.204
-2.034 2.240
-1.941 2.277
-1.849 2.315
-1.756 2.354
-1.664 2.392
-1.572 2.431
-1.479 2.469
-1.386 2.506
-1.293 2.543
-1.200 2.578
-1.106 2.612
-1.011 2.644
-0.9160 2.675
-0.8201 2.703
-0.7236 2.729
-0.6264 2.753
-0.5286 2.774
-0.4302 2.792
-0.3313 2.806
-0.2320 2.818
-0.1323 2.826
-0.03239 2.831
0.06760 2.832
0.1676 2.829
0.2674 2.824
0.3670 2.814
0.4662 2.802
0.5649 2.786
0.6631 2.767
0.7607 2.745
0.8577 2.721
0.9541 2.694
1.050 2.665
1.145 2.634
1.239 2.601
1.333 2.567
1.427 2.532
1.520 2.495
1.613 2.458
1.705 2.421
1.798 2.383
1.891 2.345
1.983 2.307
2.076 2.271
2.170 2.235
2.263 2.200
2.358 2.167
2.453 2.136
2.549 2.107
2.645 2.082
2.743 2.059
2.841 2.041
2.940 2.027
3.040 2.017
3.139 2.012
3.239 2.012
3.339 2.016
3.439 2.026
3.538 2.040
3.636 2.059
3.734 2.082
3.830 2.107
3.926 2.136
4.021 2.168
4.115 2.201
4.209 2.236
4.302 2.273
4.395 2.310
4.487 2.348
4.579 2.387
4.672 2.425
4.764 2.463
4.857 2.501
4.950 2.537
5.043 2.573
5.137 2.608
5.231 2.641
5.326 2.672
5.422 2.701
5.518 2.728
5.615 2.753
5.713 2.775
5.811 2.794
5.910 2.810
6.009 2.823
6.108 2.832
6.208 2.838
6.308 2.841
6.408 2.840
6.508 2.836
6.608 2.828
6.707 2.817
6.806 2.802
6.904 2.785
7.002 2.764
7.100 2.741
7.196 2.715
7.292 2.687
7.388 2.657
7.482 2.626
7.577 2.592
7.670 2.557
7.764 2.521
7.857 2.485
7.950 2.447
8.042 2.410
8.135 2.372
8.227 2.334
8.320 2.297
8.414 2.261
8.507 2.226
8.601 2.192
8.696 2.161
8.792 2.131
8.888 2.105
