x y
1.14000000000000 0.000000000000000
1.140 -0.1000
1.129 -0.1994
1.108 -0.2971
1.076 -0.3920
1.035 -0.4833
0.9863 -0.5705
0.9299 -0.6530
0.8667 -0.7305
0.7975 -0.8027
0.7229 -0.8693
0.6433 -0.9298
0.5593 -0.9841
0.4712 -1.032
0.3797 -1.072
0.2852 -1.104
0.1883 -1.129
0.08965 -1.146
-0.01005 -1.153
-0.1100 -1.152
-0.2096 -1.143
-0.3080 -1.125
-0.4045 -1.099
-0.4987 -1.065
-0.5899 -1.024
-0.6778 -0.9766
-0.7619 -0.9226
-0.8420 -0.8627
-0.9176 -0.7973
-0.9885 -0.7267
-1.054 -0.6513
-1.114 -0.5712
-1.168 -0.4869
-1.215 -0.3985
-1.254 -0.3065
-1.284 -0.2113
-1.306 -0.1136
-1.318 -0.01431
-1.319 0.08568
-1.310 0.1853
-1.291 0.2835
-1.263 0.3794
-1.226 0.4723
-1.181 0.5617
-1.129 0.6472
-1.071 0.7285
-1.007 0.8055
-0.9384 0.8779
-0.8647 0.9455
-0.7868 1.008
-0.7050 1.066
-0.6195 1.118
-0.5308 1.164
-0.4391 1.204
-0.3448 1.237
-0.2484 1.263
-0.1502 1.282
-0.05087 1.294
0.04906 1.298
0.1490 1.294
0.2483 1.283
0.3465 1.264
0.4431 1.238
0.5376 1.205
0.6297 1.166
0.7189 1.121
0.8051 1.070
0.8881 1.015
0.9675 0.9538
1.043 0.8885
