x y
4.14 0.0
4.1400 0.0017844
4.1400 0.0035688
4.1401 0.0053529
4.1402 0.0071366
4.1403 0.0089198
4.1405 0.010702
4.1406 0.012484
4.1409 0.014264
4.1411 0.016044
4.1414 0.017822
4.1417 0.019598
4.1420 0.021373
4.1424 0.023146
4.1427 0.024917
4.1432 0.026686
4.1436 0.028452
4.1441 0.030217
4.1446 0.031978
4.1451 0.033737
4.1457 0.035493
4.1463 0.037246
4.1469 0.038996
4.1475 0.040743
4.1482 0.042486
4.1489 0.044226
4.1496 0.045963
4.1504 0.047695
4.1512 0.049424
4.1520 0.051149
4.1528 0.052869
4.1537 0.054586
4.1546 0.056298
4.1555 0.058006
4.1564 0.059709
4.1573 0.061408
4.1583 0.063102
4.1593 0.064792
4.1604 0.066476
4.1614 0.068156
4.1625 0.069831
4.1636 0.071501
4.1647 0.073165
4.1658 0.074825
4.1670 0.076479
4.1682 0.078128
4.1694 0.079772
4.1706 0.081410
4.1718 0.083043
4.1731 0.084670
4.1744 0.086292
4.1757 0.087908
4.1770 0.089519
4.1783 0.091124
4.1797 0.092723
4.1810 0.094317
4.1824 0.095905
4.1838 0.097487
4.1853 0.099063
4.1867 0.10063
4.1882 0.10220
4.1896 0.10376
4.1911 0.10531
4.1926 0.10686
4.1941 0.10840
4.1957 0.10993
4.1972 0.11146
4.1988 0.11299
4.2004 0.11451
4.2020 0.11602
4.2036 0.11752
4.2052 0.11902
4.2068 0.12052
4.2084 0.12201
4.2101 0.12349
4.2118 0.12497
4.2134 0.12644
4.2151 0.12790
4.2168 0.12936
4.2185 0.13082
4.2203 0.13226
4.2220 0.13371
4.2237 0.13514
4.2255 0.13657
4.2272 0.13800
4.2290 0.13942
4.2308 0.14083
4.2326 0.14224
4.2344 0.14364
4.2362 0.14504
4.2380 0.14643
4.2398 0.14782
4.2417 0.14920
4.2435 0.15057
4.2453 0.15194
4.2472 0.15330
4.2491 0.15466
4.2509 0.15602
4.2528 0.15736
4.2547 0.15871
4.2566 0.16004
4.2585 0.16138
4.2604 0.16270
4.2623 0.16402
4.2642 0.16534
4.2661 0.16665
4.2681 0.16796
4.2700 0.16926
4.2720 0.17056
4.2739 0.17185
4.2759 0.17313
4.2778 0.17441
4.2798 0.17569
4.2817 0.17696
4.2837 0.17823
4.2857 0.17949
4.2877 0.18075
4.2897 0.18200
4.2917 0.18325
4.2937 0.18449
4.2957 0.18573
4.2977 0.18696
4.2997 0.18819
4.3017 0.18941
4.3037 0.19063
4.3057 0.19185
4.3077 0.19306
4.3098 0.19426
4.3118 0.19547
4.3138 0.19666
4.3159 0.19786
4.3179 0.19904
4.3200 0.20023
4.3220 0.20141
4.3241 0.20259
4.3261 0.20376
4.3282 0.20492
4.3302 0.20609
4.3323 0.20725
4.3343 0.20840
4.3364 0.20955
4.3385 0.21070
4.3405 0.21184
4.3426 0.21298
4.3447 0.21412
4.3468 0.21525
4.3488 0.21638
4.3509 0.21750
4.3530 0.21862
4.3551 0.21973
4.3572 0.22085
4.3593 0.22195
4.3614 0.22306
4.3634 0.22416
4.3655 0.22526
4.3676 0.22635
4.3697 0.22744
4.3718 0.22852
4.3739 0.22961
4.3760 0.23068
4.3781 0.23176
4.3802 0.23283
4.3823 0.23390
4.3844 0.23497
4.3866 0.23603
4.3887 0.23708
4.3908 0.23814
4.3929 0.23919
4.3950 0.24024
4.3971 0.24128
4.3992 0.24232
4.4013 0.24336
4.4035 0.24440
4.4056 0.24543
4.4077 0.24646
4.4098 0.24748
4.4119 0.24850
4.4140 0.24952
4.4162 0.25054
4.4183 0.25155
4.4204 0.25256
4.4225 0.25357
4.4247 0.25457
4.4268 0.25557
4.4289 0.25657
4.4310 0.25756
4.4332 0.25855
4.4353 0.25954
4.4374 0.26053
4.4395 0.26151
4.4417 0.26249
4.4438 0.26347
4.4459 0.26444
4.4481 0.26541
4.4502 0.26638
4.4523 0.26734
4.4544 0.26831
4.4566 0.26927
4.4587 0.27022
4.4608 0.27118
4.4630 0.27213
4.4651 0.27308
4.4672 0.27403
4.4694 0.27497
4.4715 0.27591
4.4736 0.27685
4.4758 0.27779
4.4779 0.27872
4.4800 0.27965
4.4822 0.28058
4.4843 0.28150
4.4865 0.28243
4.4886 0.28335
4.4907 0.28427
4.4929 0.28518
4.4950 0.28609
4.4971 0.28700
4.4993 0.28791
4.5014 0.28882
4.5035 0.28972
4.5057 0.29062
4.5078 0.29152
4.5099 0.29242
4.5121 0.29331
4.5142 0.29421
4.5164 0.29509
4.5185 0.29598
4.5206 0.29687
4.5228 0.29775
4.5249 0.29863
4.5270 0.29951
4.5292 0.30038
4.5313 0.30126
4.5334 0.30213
4.5356 0.30300
4.5377 0.30386
4.5399 0.30473
4.5420 0.30559
4.5441 0.30645
4.5463 0.30731
4.5484 0.30816
4.5505 0.30902
4.5527 0.30987
4.5548 0.31072
4.5569 0.31157
4.5591 0.31241
4.5612 0.31326
4.5634 0.31410
4.5655 0.31494
4.5676 0.31577
4.5698 0.31661
4.5719 0.31744
4.5740 0.31827
4.5761 0.31910
4.5783 0.31993
4.5804 0.32076
4.5825 0.32158
4.5847 0.32240
4.5868 0.32322
4.5889 0.32404
4.5910 0.32485
4.5932 0.32567
4.5953 0.32648
4.5974 0.32729
4.5996 0.32810
4.6017 0.32891
4.6038 0.32971
4.6059 0.33051
4.6081 0.33131
4.6102 0.33211
4.6123 0.33291
4.6145 0.33370
4.6166 0.33450
4.6187 0.33529
4.6208 0.33608
4.6230 0.33687
4.6251 0.33765
4.6272 0.33844
4.6294 0.33922
4.6315 0.34000
4.6336 0.34078
4.6357 0.34156
4.6379 0.34234
4.6400 0.34311
4.6421 0.34388
4.6443 0.34465
4.6464 0.34542
4.6485 0.34619
4.6507 0.34696
4.6528 0.34772
4.6549 0.34848
4.6570 0.34924
4.6591 0.35000
4.6613 0.35076
4.6634 0.35152
4.6655 0.35227
4.6676 0.35302
4.6698 0.35378
4.6719 0.35452
4.6740 0.35527
4.6761 0.35602
4.6782 0.35676
4.6804 0.35751
4.6825 0.35825
4.6846 0.35899
4.6867 0.35973
4.6888 0.36046
4.6910 0.36120
4.6931 0.36193
4.6952 0.36267
4.6973 0.36340
4.6994 0.36413
4.7016 0.36485
4.7037 0.36558
4.7058 0.36631
4.7079 0.36703
4.7101 0.36775
4.7122 0.36847
4.7143 0.36919
4.7164 0.36991
4.7185 0.37062
4.7207 0.37134
4.7228 0.37205
4.7249 0.37276
4.7270 0.37348
4.7291 0.37418
4.7313 0.37489
4.7334 0.37560
4.7355 0.37630
4.7376 0.37701
4.7397 0.37771
4.7419 0.37841
4.7440 0.37911
4.7461 0.37981
4.7482 0.38050
4.7503 0.38120
4.7524 0.38189
4.7546 0.38258
4.7567 0.38327
4.7588 0.38396
4.7609 0.38465
4.7630 0.38534
4.7651 0.38602
4.7672 0.38671
4.7693 0.38739
4.7715 0.38807
4.7736 0.38875
4.7757 0.38943
4.7778 0.39011
4.7799 0.39078
4.7820 0.39146
4.7841 0.39213
4.7863 0.39281
4.7884 0.39348
4.7905 0.39415
4.7926 0.39482
4.7947 0.39548
4.7968 0.39615
4.7989 0.39681
4.8010 0.39748
4.8032 0.39814
4.8053 0.39880
4.8074 0.39946
4.8095 0.40012
4.8116 0.40078
4.8137 0.40143
4.8158 0.40209
4.8180 0.40274
4.8201 0.40339
4.8222 0.40404
4.8243 0.40469
4.8264 0.40534
4.8285 0.40599
4.8306 0.40664
4.8327 0.40728
4.8349 0.40792
4.8370 0.40857
4.8391 0.40921
4.8412 0.40985
4.8433 0.41049
4.8454 0.41113
4.8475 0.41176
4.8497 0.41240
4.8518 0.41303
4.8539 0.41367
4.8560 0.41430
4.8581 0.41493
4.8602 0.41556
4.8623 0.41619
4.8644 0.41682
4.8666 0.41744
4.8687 0.41807
4.8708 0.41869
4.8729 0.41931
4.8750 0.41994
4.8771 0.42056
4.8792 0.42118
4.8814 0.42180
4.8835 0.42241
4.8856 0.42303
4.8877 0.42364
4.8898 0.42426
