x y
9.25000000000000 -0.750000000000000
9.2474 -0.74956
9.2448 -0.74911
9.2422 -0.74867
9.2396 -0.74823
9.2370 -0.74779
9.2344 -0.74735
9.2318 -0.74692
9.2292 -0.74648
9.2266 -0.74604
9.2240 -0.74561
9.2214 -0.74517
9.2188 -0.74474
9.2162 -0.74430
9.2136 -0.74387
9.2109 -0.74344
9.2083 -0.74301
9.2057 -0.74258
9.2031 -0.74215
9.2004 -0.74172
9.1978 -0.74130
9.1952 -0.74087
9.1926 -0.74045
9.1899 -0.74002
9.1873 -0.73960
9.1846 -0.73917
9.1820 -0.73875
9.1794 -0.73833
9.1767 -0.73791
9.1741 -0.73749
9.1714 -0.73708
9.1688 -0.73666
9.1661 -0.73624
9.1635 -0.73583
9.1608 -0.73542
9.1582 -0.73500
9.1555 -0.73459
9.1529 -0.73418
9.1502 -0.73377
9.1476 -0.73336
9.1449 -0.73295
9.1422 -0.73254
9.1395 -0.73214
9.1369 -0.73173
9.1342 -0.73133
9.1315 -0.73093
9.1289 -0.73052
9.1262 -0.73012
9.1235 -0.72972
9.1208 -0.72932
9.1181 -0.72892
9.1154 -0.72853
9.1128 -0.72813
9.1101 -0.72773
9.1074 -0.72734
9.1047 -0.72694
9.1020 -0.72655
9.0993 -0.72616
9.0966 -0.72577
9.0939 -0.72538
9.0912 -0.72499
9.0885 -0.72460
9.0858 -0.72421
9.0831 -0.72383
9.0804 -0.72344
9.0777 -0.72306
9.0750 -0.72267
9.0723 -0.72229
9.0695 -0.72191
9.0668 -0.72153
9.0641 -0.72115
9.0614 -0.72078
9.0587 -0.72040
9.0559 -0.72002
9.0532 -0.71965
9.0505 -0.71928
9.0477 -0.71890
9.0450 -0.71853
9.0423 -0.71816
9.0396 -0.71779
9.0368 -0.71742
9.0341 -0.71706
9.0313 -0.71669
9.0286 -0.71633
9.0258 -0.71596
9.0231 -0.71560
9.0204 -0.71524
9.0176 -0.71488
9.0149 -0.71452
9.0121 -0.71416
9.0094 -0.71380
9.0066 -0.71344
9.0038 -0.71309
9.0011 -0.71273
8.9983 -0.71238
8.9956 -0.71203
8.9928 -0.71168
8.9900 -0.71133
8.9873 -0.71098
8.9845 -0.71063
8.9817 -0.71029
8.9790 -0.70994
8.9762 -0.70960
8.9734 -0.70925
8.9706 -0.70891
8.9678 -0.70857
8.9651 -0.70823
8.9623 -0.70789
8.9595 -0.70755
8.9567 -0.70722
8.9539 -0.70688
8.9511 -0.70655
8.9483 -0.70622
8.9456 -0.70588
8.9428 -0.70555
8.9400 -0.70522
8.9372 -0.70490
8.9344 -0.70457
8.9316 -0.70424
8.9288 -0.70392
8.9260 -0.70359
8.9232 -0.70327
8.9203 -0.70295
8.9175 -0.70263
8.9147 -0.70231
8.9119 -0.70199
8.9091 -0.70167
8.9063 -0.70136
8.9035 -0.70104
8.9007 -0.70073
8.8978 -0.70042
8.8950 -0.70011
8.8922 -0.69980
8.8894 -0.69949
8.8866 -0.69918
8.8837 -0.69888
8.8809 -0.69857
8.8781 -0.69827
8.8752 -0.69796
8.8724 -0.69766
8.8696 -0.69736
8.8667 -0.69706
8.8639 -0.69676
8.8611 -0.69647
8.8582 -0.69617
8.8554 -0.69588
8.8525 -0.69558
8.8497 -0.69529
8.8468 -0.69500
8.8440 -0.69471
8.8411 -0.69442
8.8383 -0.69413
8.8354 -0.69385
8.8326 -0.69356
8.8297 -0.69328
8.8269 -0.69300
8.8240 -0.69271
8.8212 -0.69243
8.8183 -0.69215
8.8154 -0.69188
8.8126 -0.69160
8.8097 -0.69133
8.8068 -0.69105
8.8040 -0.69078
8.8011 -0.69051
8.7982 -0.69024
8.7953 -0.68997
8.7925 -0.68970
8.7896 -0.68943
8.7867 -0.68916
8.7838 -0.68890
8.7810 -0.68864
8.7781 -0.68837
8.7752 -0.68811
8.7723 -0.68785
8.7694 -0.68759
8.7665 -0.68734
8.7637 -0.68708
8.7608 -0.68683
8.7579 -0.68657
8.7550 -0.68632
8.7521 -0.68607
8.7492 -0.68582
8.7463 -0.68557
8.7434 -0.68532
8.7405 -0.68507
8.7376 -0.68483
8.7347 -0.68458
8.7318 -0.68434
8.7289 -0.68410
8.7260 -0.68386
8.7231 -0.68362
8.7202 -0.68338
8.7173 -0.68314
8.7144 -0.68291
8.7115 -0.68267
8.7086 -0.68244
8.7056 -0.68221
8.7027 -0.68198
8.6998 -0.68175
8.6969 -0.68152
8.6940 -0.68129
8.6911 -0.68106
8.6882 -0.68084
8.6852 -0.68062
8.6823 -0.68039
8.6794 -0.68017
8.6765 -0.67995
8.6735 -0.67973
8.6706 -0.67951
8.6677 -0.67930
8.6647 -0.67908
8.6618 -0.67887
8.6589 -0.67865
8.6560 -0.67844
8.6530 -0.67823
8.6501 -0.67802
8.6472 -0.67781
8.6442 -0.67760
8.6413 -0.67740
8.6384 -0.67719
8.6354 -0.67699
8.6325 -0.67679
8.6295 -0.67659
8.6266 -0.67639
8.6236 -0.67619
8.6207 -0.67599
8.6178 -0.67579
8.6148 -0.67560
8.6119 -0.67540
8.6089 -0.67521
8.6060 -0.67502
8.6030 -0.67482
8.6001 -0.67463
8.5971 -0.67445
8.5942 -0.67426
8.5912 -0.67407
8.5883 -0.67389
8.5853 -0.67370
8.5823 -0.67352
8.5794 -0.67334
8.5764 -0.67316
8.5735 -0.67298
8.5705 -0.67280
8.5675 -0.67262
8.5646 -0.67244
8.5616 -0.67227
8.5587 -0.67209
8.5557 -0.67192
8.5527 -0.67175
8.5498 -0.67158
8.5468 -0.67141
8.5438 -0.67124
8.5408 -0.67107
8.5379 -0.67091
8.5349 -0.67074
8.5319 -0.67058
8.5289 -0.67041
8.5260 -0.67025
8.5230 -0.67009
8.5200 -0.66993
8.5170 -0.66977
8.5141 -0.66962
8.5111 -0.66946
8.5081 -0.66930
8.5051 -0.66915
8.5022 -0.66900
8.4992 -0.66884
8.4962 -0.66869
8.4932 -0.66854
8.4902 -0.66840
8.4872 -0.66825
8.4843 -0.66810
8.4813 -0.66795
8.4783 -0.66781
8.4753 -0.66767
8.4723 -0.66752
8.4693 -0.66738
8.4663 -0.66724
8.4633 -0.66710
8.4603 -0.66696
8.4573 -0.66682
8.4543 -0.66669
8.4514 -0.66655
8.4484 -0.66642
8.4454 -0.66628
8.4424 -0.66615
8.4394 -0.66602
8.4364 -0.66589
8.4334 -0.66576
8.4304 -0.66563
8.4274 -0.66550
8.4244 -0.66538
8.4214 -0.66525
8.4184 -0.66513
8.4154 -0.66500
8.4124 -0.66488
8.4094 -0.66476
8.4064 -0.66464
