x y
1.14000000000000 0.000000000000000
1.1400 -0.0026964
1.1399 -0.0053925
1.1398 -0.0080882
1.1396 -0.010783
1.1394 -0.013477
1.1390 -0.016169
1.1387 -0.018860
1.1382 -0.021549
1.1377 -0.024235
1.1371 -0.026919
1.1365 -0.029600
1.1358 -0.032278
1.1350 -0.034953
1.1342 -0.037624
1.1333 -0.040290
1.1324 -0.042953
1.1314 -0.045611
1.1303 -0.048264
1.1292 -0.050913
1.1280 -0.053555
1.1267 -0.056193
1.1254 -0.058824
1.1240 -0.061450
1.1226 -0.064069
1.1211 -0.066682
1.1196 -0.069288
1.1180 -0.071888
1.1163 -0.074480
1.1146 -0.077064
1.1128 -0.079642
1.1110 -0.082211
1.1091 -0.084772
1.1072 -0.087326
1.1052 -0.089871
1.1032 -0.092407
1.1011 -0.094935
1.0989 -0.097454
1.0967 -0.099965
1.0945 -0.10247
1.0922 -0.10496
1.0898 -0.10744
1.0874 -0.10991
1.0850 -0.11238
1.0825 -0.11483
1.0800 -0.11727
1.0774 -0.11971
1.0747 -0.12213
1.0721 -0.12454
1.0693 -0.12695
1.0666 -0.12934
1.0637 -0.13172
1.0609 -0.13409
1.0580 -0.13646
1.0550 -0.13881
1.0520 -0.14115
1.0490 -0.14347
1.0459 -0.14579
1.0428 -0.14810
1.0397 -0.15040
1.0365 -0.15268
1.0333 -0.15496
1.0300 -0.15722
1.0267 -0.15947
1.0234 -0.16171
1.0200 -0.16394
1.0166 -0.16616
1.0131 -0.16837
1.0096 -0.17056
1.0061 -0.17275
1.0026 -0.17492
0.99897 -0.17708
0.99535 -0.17923
0.99169 -0.18137
0.98800 -0.18350
0.98428 -0.18562
0.98053 -0.18772
0.97674 -0.18982
0.97292 -0.19190
0.96908 -0.19397
0.96520 -0.19603
0.96129 -0.19808
0.95736 -0.20011
0.95339 -0.20214
0.94940 -0.20415
0.94537 -0.20616
0.94132 -0.20815
0.93724 -0.21013
0.93313 -0.21210
0.92900 -0.21406
0.92484 -0.21600
0.92065 -0.21794
0.91643 -0.21986
0.91219 -0.22177
0.90793 -0.22368
0.90364 -0.22557
0.89932 -0.22745
0.89498 -0.22931
0.89061 -0.23117
0.88622 -0.23302
0.88181 -0.23485
0.87737 -0.23667
0.87291 -0.23849
0.86842 -0.24029
0.86391 -0.24208
0.85938 -0.24386
0.85483 -0.24563
0.85025 -0.24738
0.84565 -0.24913
0.84103 -0.25086
0.83638 -0.25259
0.83172 -0.25430
0.82703 -0.25600
0.82233 -0.25770
0.81760 -0.25938
0.81285 -0.26105
0.80808 -0.26271
0.80329 -0.26435
0.79848 -0.26599
0.79364 -0.26762
0.78879 -0.26923
0.78392 -0.27084
0.77903 -0.27243
0.77412 -0.27401
0.76919 -0.27559
0.76424 -0.27715
0.75927 -0.27870
0.75428 -0.28024
0.74928 -0.28177
0.74425 -0.28329
0.73921 -0.28479
0.73415 -0.28629
0.72907 -0.28778
0.72397 -0.28925
0.71885 -0.29072
0.71372 -0.29217
0.70857 -0.29361
0.70340 -0.29504
0.69821 -0.29647
0.69301 -0.29788
0.68778 -0.29928
0.68254 -0.30067
0.67729 -0.30204
0.67201 -0.30341
0.66672 -0.30477
0.66142 -0.30612
0.65609 -0.30745
0.65075 -0.30878
0.64539 -0.31009
0.64002 -0.31139
0.63463 -0.31268
0.62922 -0.31397
0.62380 -0.31524
0.61836 -0.31650
0.61291 -0.31774
0.60744 -0.31898
0.60195 -0.32021
0.59645 -0.32142
0.59094 -0.32263
0.58541 -0.32382
0.57986 -0.32501
0.57430 -0.32618
0.56872 -0.32734
0.56313 -0.32849
0.55752 -0.32963
0.55190 -0.33076
0.54626 -0.33187
0.54061 -0.33298
0.53494 -0.33407
0.52926 -0.33516
0.52357 -0.33623
0.51786 -0.33729
0.51214 -0.33834
0.50640 -0.33938
0.50065 -0.34041
0.49488 -0.34142
0.48911 -0.34243
0.48331 -0.34342
0.47751 -0.34440
0.47169 -0.34537
0.46586 -0.34633
0.46001 -0.34728
0.45415 -0.34822
0.44828 -0.34914
0.44240 -0.35005
0.43650 -0.35096
0.43059 -0.35185
0.42467 -0.35272
0.41874 -0.35359
0.41279 -0.35444
0.40684 -0.35529
0.40087 -0.35612
0.39488 -0.35694
0.38889 -0.35775
0.38288 -0.35854
0.37687 -0.35932
0.37084 -0.36010
0.36480 -0.36086
0.35875 -0.36160
0.35269 -0.36234
0.34662 -0.36306
0.34053 -0.36377
0.33444 -0.36447
0.32834 -0.36516
0.32223 -0.36583
0.31610 -0.36650
0.30997 -0.36715
0.30382 -0.36779
0.29767 -0.36841
0.29151 -0.36902
0.28534 -0.36963
0.27916 -0.37021
0.27297 -0.37079
0.26677 -0.37135
0.26056 -0.37190
0.25435 -0.37244
0.24813 -0.37297
0.24190 -0.37348
0.23566 -0.37398
0.22941 -0.37447
0.22316 -0.37494
0.21689 -0.37540
0.21062 -0.37585
0.20435 -0.37629
0.19807 -0.37671
0.19178 -0.37712
0.18548 -0.37752
0.17918 -0.37791
0.17287 -0.37828
0.16656 -0.37864
0.16024 -0.37898
0.15392 -0.37932
0.14759 -0.37964
0.14125 -0.37994
0.13491 -0.38024
0.12857 -0.38052
0.12222 -0.38078
0.11587 -0.38104
0.10951 -0.38128
0.10315 -0.38151
0.096785 -0.38172
0.090418 -0.38192
0.084047 -0.38211
0.077674 -0.38229
0.071298 -0.38245
0.064920 -0.38260
0.058539 -0.38273
0.052156 -0.38285
0.045772 -0.38296
0.039386 -0.38306
0.032998 -0.38314
0.026610 -0.38321
0.020220 -0.38327
0.013830 -0.38331
0.0074392 -0.38334
0.0010482 -0.38335
-0.0053428 -0.38335
-0.011734 -0.38334
-0.018124 -0.38332
-0.024514 -0.38328
-0.030903 -0.38323
-0.037291 -0.38317
-0.043677 -0.38309
-0.050062 -0.38300
-0.056445 -0.38289
-0.062827 -0.38277
-0.069206 -0.38264
-0.075583 -0.38250
-0.081957 -0.38234
-0.088328 -0.38217
-0.094697 -0.38199
-0.10106 -0.38179
-0.10742 -0.38158
-0.11378 -0.38136
-0.12014 -0.38112
-0.12648 -0.38087
-0.13283 -0.38061
-0.13917 -0.38033
-0.14551 -0.38004
-0.15184 -0.37974
-0.15817 -0.37943
-0.16449 -0.37910
-0.17080 -0.37876
-0.17711 -0.37841
-0.18342 -0.37804
-0.18971 -0.37766
-0.19600 -0.37727
-0.20229 -0.37686
-0.20857 -0.37644
-0.21484 -0.37601
-0.22110 -0.37557
-0.22736 -0.37511
-0.23361 -0.37464
-0.23985 -0.37416
-0.24608 -0.37366
-0.25231 -0.37316
-0.25853 -0.37264
-0.26474 -0.37210
-0.27094 -0.37156
-0.27713 -0.37100
-0.28331 -0.37043
-0.28949 -0.36985
-0.29565 -0.36926
-0.30181 -0.36865
-0.30796 -0.36803
-0.31409 -0.36740
-0.32022 -0.36675
-0.32634 -0.36610
-0.33244 -0.36543
-0.33854 -0.36475
-0.34463 -0.36406
-0.35070 -0.36335
-0.35677 -0.36263
-0.36282 -0.36191
-0.36887 -0.36116
-0.37490 -0.36041
-0.38092 -0.35965
-0.38693 -0.35887
-0.39293 -0.35808
-0.39891 -0.35728
-0.40489 -0.35647
-0.41085 -0.35565
-0.41680 -0.35481
-0.42274 -0.35396
-0.42867 -0.35311
-0.43458 -0.35223
-0.44048 -0.35135
-0.44637 -0.35046
-0.45225 -0.34956
-0.45811 -0.34864
-0.46396 -0.34771
-0.46980 -0.34677
-0.47562 -0.34582
-0.48143 -0.34486
-0.48723 -0.34389
-0.49302 -0.34290
-0.49879 -0.34191
-0.50454 -0.34090
-0.51029 -0.33988
-0.51602 -0.33885
-0.52173 -0.33781
-0.52743 -0.33676
-0.53312 -0.33570
-0.53879 -0.33463
-0.54445 -0.33354
-0.55010 -0.33245
-0.55573 -0.33134
-0.56134 -0.33022
-0.56694 -0.32909
-0.57253 -0.32795
-0.57810 -0.32680
-0.58365 -0.32564
-0.58919 -0.32447
-0.59472 -0.32329
-0.60023 -0.32209
-0.60572 -0.32089
-0.61120 -0.31967
-0.61666 -0.31845
-0.62211 -0.31721
-0.62754 -0.31596
-0.63296 -0.31471
-0.63836 -0.31344
-0.64374 -0.31216
-0.64911 -0.31087
-0.65446 -0.30957
-0.65980 -0.30826
-0.66512 -0.30693
-0.67042 -0.30560
-0.67571 -0.30426
-0.68097 -0.30290
-0.68623 -0.30154
-0.69146 -0.30016
-0.69668 -0.29878
-0.70188 -0.29738
-0.70707 -0.29598
-0.71223 -0.29456
-0.71738 -0.29313
-0.72251 -0.29169
-0.72763 -0.29024
-0.73272 -0.28878
-0.73780 -0.28731
-0.74286 -0.28583
-0.74790 -0.28434
-0.75293 -0.28284
-0.75793 -0.28132
-0.76292 -0.27980
-0.76789 -0.27827
-0.77284 -0.27672
-0.77777 -0.27517
-0.78268 -0.27360
-0.78757 -0.27203
-0.79245 -0.27044
-0.79730 -0.26884
-0.80213 -0.26723
-0.80695 -0.26562
-0.81174 -0.26399
-0.81652 -0.26235
-0.82127 -0.26070
-0.82600 -0.25903
-0.83072 -0.25736
-0.83541 -0.25568
-0.84008 -0.25399
-0.84473 -0.25228
-0.84936 -0.25057
-0.85396 -0.24884
-0.85855 -0.24711
-0.86311 -0.24536
-0.86765 -0.24360
-0.87217 -0.24183
-0.87667 -0.24005
-0.88114 -0.23826
-0.88559 -0.23646
-0.89002 -0.23465
-0.89443 -0.23283
-0.89881 -0.23099
-0.90316 -0.22915
-0.90749 -0.22729
-0.91180 -0.22542
-0.91609 -0.22355
-0.92034 -0.22166
-0.92458 -0.21976
-0.92878 -0.21785
-0.93297 -0.21593
-0.93712 -0.21399
-0.94125 -0.21205
-0.94535 -0.21009
-0.94943 -0.20813
-0.95348 -0.20615
-0.95750 -0.20416
-0.96149 -0.20216
-0.96546 -0.20015
-0.96939 -0.19813
-0.97330 -0.19610
-0.97718 -0.19406
-0.98102 -0.19200
-0.98484 -0.18994
-0.98863 -0.18786
-0.99239 -0.18577
-0.99611 -0.18367
-0.99981 -0.18156
-1.0035 -0.17944
-1.0071 -0.17731
-1.0107 -0.17516
-1.0143 -0.17301
-1.0178 -0.17084
-1.0213 -0.16866
-1.0248 -0.16648
-1.0282 -0.16428
-1.0316 -0.16207
-1.0349 -0.15985
-1.0382 -0.15761
-1.0415 -0.15537
-1.0448 -0.15312
-1.0480 -0.15085
-1.0512 -0.14858
-1.0543 -0.14629
-1.0574 -0.14399
-1.0604 -0.14168
-1.0634 -0.13936
-1.0664 -0.13704
-1.0693 -0.13470
-1.0722 -0.13235
-1.0751 -0.12998
-1.0779 -0.12761
-1.0806 -0.12523
-1.0834 -0.12284
-1.0860 -0.12044
-1.0887 -0.11803
-1.0912 -0.11561
-1.0938 -0.11317
-1.0963 -0.11073
-1.0987 -0.10828
-1.1011 -0.10582
-1.1034 -0.10335
-1.1057 -0.10088
-1.1080 -0.098388
-1.1102 -0.095891
-1.1123 -0.093386
-1.1144 -0.090872
-1.1165 -0.088349
-1.1184 -0.085818
-1.1204 -0.083279
-1.1223 -0.080732
