x y
1.5 0.0
1.500000000 -0.005000000000
1.499983306 -0.009999972130
1.499949861 -0.01499986028
1.499899611 -0.01999960776
1.499832500 -0.02499915735
1.499748472 -0.02999845123
1.499647470 -0.03499743099
1.499529440 -0.03999603769
1.499394325 -0.04499421174
1.499242069 -0.04999189301
1.499072615 -0.05498902074
1.498885909 -0.05998553359
1.498681893 -0.06498136960
1.498460511 -0.06997646620
1.498221707 -0.07497076021
1.497965424 -0.07996418782
1.497691607 -0.08495668460
1.497400199 -0.08994818549
1.497091143 -0.09493862479
1.496764383 -0.09992793616
1.496419863 -0.1049160526
1.496057525 -0.1099029065
1.495677315 -0.1148884296
1.495279175 -0.1198725528
1.494863049 -0.1248552066
1.494428881 -0.1298363208
1.493976614 -0.1348158242
1.493506192 -0.1397936454
1.493017559 -0.1447697119
1.492510659 -0.1497439507
1.491985435 -0.1547162882
1.491441832 -0.1596866499
1.490879793 -0.1646549607
1.490299263 -0.1696211449
1.489700186 -0.1745851258
1.489082506 -0.1795468263
1.488446168 -0.1845061683
1.487791115 -0.1894630732
1.487117294 -0.1944174616
1.486424648 -0.1993692533
1.485713122 -0.2043183675
1.484982662 -0.2092647225
1.484233212 -0.2142082360
1.483464719 -0.2191488248
1.482677127 -0.2240864051
1.481870382 -0.2290208922
1.481044431 -0.2339522008
1.480199219 -0.2388802447
1.479334693 -0.2438049370
1.478450799 -0.2487261901
1.477547485 -0.2536439155
1.476624696 -0.2585580239
1.475682382 -0.2634684254
1.474720488 -0.2683750292
1.473738963 -0.2732777437
1.472737756 -0.2781764766
1.471716814 -0.2830711346
1.470676086 -0.2879616240
1.469615522 -0.2928478499
1.468535071 -0.2977297168
1.467434682 -0.3026071285
1.466314306 -0.3074799877
1.465173893 -0.3123481966
1.464013394 -0.3172116565
1.462832760 -0.3220702679
1.461631943 -0.3269239303
1.460410895 -0.3317725427
1.459169569 -0.3366160032
1.457907918 -0.3414542090
1.456625894 -0.3462870566
1.455323453 -0.3511144416
1.454000547 -0.3559362588
1.452657133 -0.3607524023
1.451293165 -0.3655627653
1.449908600 -0.3703672402
1.448503394 -0.3751657187
1.447077504 -0.3799580916
1.445630888 -0.3847442488
